fac_cd,fac_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lat,lon
SH00000301,송원여자상업고등학교,2900000000,광주광역시,2915500000,남구,2915511100,임암동,광주광역시 남구 송하동 365-1,35.1085464,126.8715681
SH00005453,안양예술고등학교,4100000000,경기도,4117100000,안양시 만안구,4117110100,안양동,경기도 안양시 만안구 안양동 산 42-1,37.3957884,126.9114658
SH00005465,안양외국어고등학교,4100000000,경기도,4117100000,안양시 만안구,4117110100,안양동,경기도 안양시 만안구 안양동 산 41-1,37.3956477,126.9098673
SH00006096,안의고등학교,4800000000,경상남도,4887000000,함양군,4887036024,안의면,경상남도 함양군 안의면 석천리 90,35.6307727,127.8191837
SH00008996,안좌고등학교,4600000000,전라남도,4691000000,신안군,4691040044,안좌면,전라남도 신안군 안좌면 읍동리 499-3,34.750436,126.1299137
SH00009318,안중고등학교,4100000000,경기도,4122000000,평택시,4122025330,안중읍,경기도 평택시 안중읍 현화리 292-3,36.9869909605,126.9232231547
SH00001881,안천고등학교,5200000000,전북특별자치도,5272000000,진안군,5272032022,안천면,전라북도 진안군 안천면 백화리 1550,35.900409,127.5599226
SH00011334,안화고등학교,4100000000,경기도,4159000000,화성시,4159011700,병점동,경기도 화성시 병점동 852,37.2119225,127.0484501
SH00001578,안흥고등학교,5100000000,강원특별자치도,5173000000,횡성군,5173032021,안흥면,강원특별자치도 횡성군 안흥면 안흥리 272-2,37.4125917985,128.1527618534
SH00008964,압구정고등학교,1100000000,서울특별시,1168000000,강남구,1168011000,압구정동,서울특별시 강남구 압구정동 470,37.5311729,127.0328538
SH00009763,완도수산고등학교,4600000000,전라남도,4689000000,완도군,4689025022,완도읍,전라남도 완도군 완도읍 가용리 8-2,34.3235270726,126.7441879181
SH00007167,완산고등학교,5200000000,전북특별자치도,5211100000,전주시 완산구,5211113900,삼천동3가,전라북도 전주시 완산구 삼천동3가 417,35.8024075573,127.0838871668
SH00007168,완산여자고등학교,5200000000,전북특별자치도,5211100000,전주시 완산구,5211113200,평화동1가,전라북도 전주시 완산구 평화동1가 500-1,35.7922839,127.1391831
SH00010531,완주고등학교,5200000000,전북특별자치도,5271000000,완주군,5271025328,봉동읍,전라북도 완주군 봉동읍 장기리 153,35.9412417,127.1672728
SH00008994,왕신여자고등학교,5200000000,전북특별자치도,5218000000,정읍시,5218025021,신태인읍,전라북도 정읍시 신태인읍 신태인리 86-2,35.6834361,126.8894034
SH00009954,서울여자고등학교,1100000000,서울특별시,1144000000,마포구,1144010900,염리동,서울특별시 마포구 염리동 128-2,37.5478121,126.9485819
SH00009720,서울여자상업고등학교,1100000000,서울특별시,1162000000,관악구,1162010100,봉천동,서울특별시 관악구 봉천동 1-695,37.4731302,126.9513293
SH00009961,서울영상고등학교,1100000000,서울특별시,1147000000,양천구,1147010100,신정동,서울특별시 양천구 신정동 984,37.5231812,126.8600333
SH00009872,서울예술고등학교,1100000000,서울특별시,1111000000,종로구,1111018300,평창동,서울특별시 종로구 평창동 217,37.605391,126.9691915
SH00002451,송지고등학교,4600000000,전라남도,4682000000,해남군,4682034026,송지면,전라남도 해남군 송지면 미야리 821,34.3844143,126.5159658
SH00005488,송탄고등학교,4100000000,경기도,4122000000,평택시,4122010900,이충동,경기도 평택시 이충동 137-5,37.0561319,127.069652
SH00005251,송파공업고등학교,1100000000,서울특별시,1171000000,송파구,1171011300,거여동,서울특별시 송파구 거여동 33-1,37.4917279,127.1424358
SH00009597,송현고등학교,4100000000,경기도,4115000000,의정부시,4115010600,민락동,경기도 의정부시 민락동 735-4,37.7438323,127.0904989
SH00006195,송현여자고등학교,2700000000,대구광역시,2729000000,달서구,2729012200,송현동,대구광역시 달서구 송현동 540,35.8314548,128.5462231
SH00001549,송호고등학교,4100000000,경기도,4127100000,안산시 상록구,4127110200,이동,경기도 안산시 상록구 이동 665,37.3104302,126.8456158
SH00010550,애월고등학교,5000000000,제주특별자치도,5011000000,제주시,5011025334,애월읍,제주특별자치도 제주시 애월읍 애월리 8-1,33.4600565,126.3338033
SH00001878,야로고등학교,4800000000,경상남도,4889000000,합천군,4889034026,야로면,경상남도 합천군 야로면 구정리 178,35.7032439387,128.169725026
SH00002524,야탑고등학교,4100000000,경기도,4113500000,성남시 분당구,4113510700,야탑동,경기도 성남시 분당구 야탑동 145-3,37.4037682357,127.153564268
SH00003818,약목고등학교,4700000000,경상북도,4785000000,칠곡군,4785036033,약목면,경상북도 칠곡군 약목면 무림리 1119,36.0271585769,128.372068498
SH00006134,약사고등학교,3100000000,울산광역시,3111000000,중구,3111011700,약사동,울산광역시 중구 약사동 893,35.5735455123,129.33599985
SH00010510,약산고등학교,4600000000,전라남도,4689000000,완도군,4689034021,약산면,전라남도 완도군 약산면 장용리 850,34.3926834,126.8988732
SH00006983,양곡고등학교,4100000000,경기도,4157000000,김포시,4157025621,양촌읍,경기도 김포시 양촌읍 양곡리 286-1,37.6590294,126.6252163
SH00000311,양구고등학교,5100000000,강원특별자치도,5180000000,양구군,5180025021,양구읍,강원특별자치도 양구군 양구읍 상리 183,38.1006547,127.9912081
SH00007179,양구여자고등학교,5100000000,강원특별자치도,5180000000,양구군,5180025032,양구읍,강원특별자치도 양구군 양구읍 정림리 230-1,38.1014794,127.9813863
SH00006655,용산고등학교,1100000000,서울특별시,1117000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가 1,37.5453891,126.979489
SH00001690,용산공업고등학교,1100000000,서울특별시,1117000000,용산구,1117012800,한강로3가,서울특별시 용산구 한강로3가 65-347,37.5243031,126.9671858
SH00002438,용운고등학교,4700000000,경상북도,4725000000,상주시,4725035027,공성면,경상북도 상주시 공성면 산현리 873,36.2793125306,128.094277372
SH00011358,용인고등학교,2600000000,부산광역시,2626000000,동래구,2626010100,명장동,부산광역시 동래구 명장동 557-2,35.2145108967,129.0949469
SH00001564,용인고등학교,4100000000,경기도,4146100000,용인시 처인구,4146110200,역북동,경기도 용인시 처인구 역북동 444-1,37.2405539,127.1927305
SH00001569,용인바이오고등학교,4100000000,경기도,4146100000,용인시 처인구,4146125621,이동읍,경기도 용인시 처인구 이동읍 송전리 692,37.1404411,127.1996944
SH00002457,용인백현고등학교,4100000000,경기도,4146300000,용인시 기흥구,4146311500,동백동,경기도 용인시 기흥구 동백동 664,37.2793274,127.162542
SH00007299,서울외국어고등학교,1100000000,서울특별시,1132000000,도봉구,1132010700,창동,서울특별시 도봉구 창동 35,37.6455929,127.0519514
