fac_cd,fac_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lat,lon
502382,ICT폴리텍대학,4100000000,경기도,4161000000,광주시,4161011200,역동,경기도 광주시 순암로 16-26 (역동) ICT폴리텍대학,37.396317995987054,127.24860536198148
502383,한국폴리텍 I 대학 서울정수캠퍼스,1100000000,서울특별시,1117000000,용산구,1117013600,보광동,"서울특별시 용산구 보광로 73 (보광동, 한국폴리텍1대학서울정수캠퍼스) ",37.528435717034704,126.99662905100382
502384,한국폴리텍 I 대학 서울강서캠퍼스,1100000000,서울특별시,1150000000,강서구,1150010300,화곡동,"서울특별시 강서구 우장산로10길 112 (화곡동, 한국폴리텍Ⅰ서울강서대학) ",37.54924227701252,126.84244517396944
502385,한국폴리텍 I 대학 성남캠퍼스,4100000000,경기도,4113100000,성남시 수정구,4113110500,산성동,"경기도 성남시 수정구 수정로 398 (산성동, 한국폴리텍I대학성남캠퍼스) ",37.4589091289826,127.15331265102488
502386,한국폴리텍 II 대학 인천캠퍼스,2800000000,인천광역시,2823700000,부평구,2823710900,구산동,"인천광역시 부평구 무네미로448번길 56 (구산동, 한국폴리텍Ⅱ대학) ",37.47826590196868,126.75534849502392
502387,한국폴리텍 II 대학 남인천캠퍼스,2800000000,인천광역시,2817700000,미추홀구,2817710500,주안동,인천광역시 미추홀구 염전로333번길 23 (주안동),37.47201063996823,126.67734474403548
502388,한국폴리텍 III 대학 춘천캠퍼스,5100000000,강원특별자치도,5111000000,춘천시,5111032023,동산면,강원특별자치도 춘천시 동산면 영서로 1290-31 ,37.79976438001514,127.78080177698322
502389,한국폴리텍 III 대학 강릉캠퍼스,5100000000,강원특별자치도,5115000000,강릉시,5115012100,노암동,강원특별자치도 강릉시 남산초교길 121 (노암동) 한국폴리텍대학 강릉캠퍼스,37.73758498499281,128.88913004403506
502390,한국폴리텍 IV 대학 대전캠퍼스,3000000000,대전광역시,3011000000,동구,3011011400,가양동,"대전광역시 동구 우암로 352-21 (가양동, 한국폴리텍IV대학) ",36.35080133500471,127.45568693400205
502391,한국폴리텍 IV 대학 청주캠퍼스,4300000000,충청북도,4311300000,청주시 흥덕구,4311311600,송정동,"충청북도 청주시 흥덕구 산단로 54 (송정동, 한국폴리텍Ⅳ대학청주캠퍼스) ",36.63937770100827,127.44891584401026
502392,한국폴리텍 IV 대학 아산캠퍼스,4400000000,충청남도,4420000000,아산시,4420041025,신창면,"충청남도 아산시 신창면 행목로 45 (행목리, 한국폴리텍Ⅳ대학아산캠퍼스) ",36.77262369799488,126.949849207035
502393,한국폴리텍 IV 대학 충남캠퍼스,4400000000,충청남도,4480000000,홍성군,4480025026,홍성읍,충청남도 홍성군 홍성읍 충서로 1200 한국폴리텍대학 충남캠퍼스,36.58283770797611,126.65656617998064
502394,한국폴리텍 V 대학 광주캠퍼스,2900000000,광주광역시,2917000000,북구,2917010900,운암동,"광주광역시 북구 하서로 85 (운암동, 한국폴리텍V대학) ",35.184234635989114,126.87961835101608
502395,한국폴리텍 V 대학 전북캠퍼스,5200000000,전북특별자치도,5221000000,김제시,5221010600,백학동,"전라북도 김제시 백학제길 154 (백학동, 한국폴리텍V대학) ",35.81063716503305,126.94017699696352
502396,한국폴리텍 V 대학 전남캠퍼스,4600000000,전라남도,4684000000,무안군,4684033027,청계면,전라남도 무안군 청계면 영산로 1854-16 한국폴리텍V대학 전남캠퍼스,34.92323485599579,126.4301668250213
502397,한국폴리텍 V 대학 익산캠퍼스,5200000000,전북특별자치도,5214000000,익산시,5214012300,어양동,"전라북도 익산시 선화로 579 (어양동, 한국폴리텍V대학) ",35.95115242897376,126.99149147899442
502398,한국폴리텍 VI 대학 대구캠퍼스,2700000000,대구광역시,2717000000,서구,2717010300,평리동,"대구광역시 서구 국채보상로43길 15 (평리동, 한국폴리텍6대학) ",35.872871338028546,128.5529921609622
502399,한국폴리텍 VI 대학 구미캠퍼스,4700000000,경상북도,4719000000,구미시,4719011300,공단동,"경상북도 구미시 수출대로3길 84 (공단동, 한국폴리텍ⅵ대학구미캠퍼스) ",36.11764903500747,128.37389697899604
502400,한국폴리텍 VII 대학 창원캠퍼스,4800000000,경상남도,4812300000,창원시 성산구,4812312500,중앙동,"경상남도 창원시 성산구 외동반림로 51-88 (중앙동, 한국폴리텍VII대학) ",35.22602841002092,128.6691554199553
502401,한국폴리텍 VII 대학 부산캠퍼스,2600000000,부산광역시,2632000000,북구,2632010400,덕천동,"부산광역시 북구 만덕대로155번길 99 (덕천동, 한국폴리텍VII대학부산캠퍼스) ",35.216612441028545,129.0197601469611
502402,한국폴리텍 VII 대학 울산캠퍼스,3100000000,울산광역시,3111000000,중구,3111011300,동동,"울산광역시 중구 산전길 155 (동동, 한국폴리텍7대학울산캠퍼스) ",35.579725707002886,129.34746704401962
502403,한국폴리텍 특성화대학 바이오캠퍼스,4400000000,충청남도,4423000000,논산시,4423025033,강경읍,충청남도 논산시 강경읍 동안로112번길 48 ,36.14509567998638,127.02099213397048
502404,한국폴리텍 VI 대학 영남융합기술캠퍼스,2700000000,대구광역시,2714000000,동구,2714010500,봉무동,대구광역시 동구 팔공로 222(봉무동) ,35.91975787698028,128.64329984902616
502405,한국폴리텍 특성화대학 반도체융합캠퍼스,4100000000,경기도,4155000000,안성시,4155025029,공도읍,경기도 안성시 공도읍 송원길 41-12 ,37.00806173002003,127.17687197097246
502406,한국폴리텍 특성화대학 항공캠퍼스,4800000000,경상남도,4824000000,사천시,4824011200,이금동,"경상남도 사천시 대학길 46 (이금동, 한국폴리텍항공대학) ",34.94784339997224,128.10798714201186
502702,경동대학교,5100000000,강원특별자치도,5121000000,속초시,5121010700,노학동,강원특별자치도 속초시 도리원길 5 (노학동) ,38.192342218979,128.554170515975
502703,경동대학교,5100000000,강원특별자치도,5113000000,원주시,5113025027,문막읍,강원특별자치도 원주시 문막읍 견훤로 815 ,37.264732404028656,127.79230330003976
502733,강원도립대학교,5100000000,강원특별자치도,5115000000,강릉시,5115025022,주문진읍,강원특별자치도 강릉시 주문진읍 연주로 270 ,37.87672178597553,128.8311738100097
502734,경남정보대학교,2600000000,부산광역시,2653000000,사상구,2653010600,주례동,"부산광역시 사상구 주례로 45 (주례동, 경남정보대학교) ",35.146557078994206,129.01120853202633
502735,경복대학교,4100000000,경기도,4136000000,남양주시,4136025328,진접읍,"경기도 남양주시 진접읍 경복대로 425 (금곡리, 경복대학교) ",37.735102834005296,127.21160361295578
502736,경북전문대학교,4700000000,경상북도,4721000000,영주시,4721010400,휴천동,"경상북도 영주시 대학로 77 (휴천동, 경북전문대학교) ",36.80402510800888,128.61564114300748
502737,서영대학교,2900000000,광주광역시,2917000000,북구,2917010900,운암동,"광주광역시 북구 서강로 1 (운암동, 서영대학교) ",35.174960032965934,126.86945604096653
502738,성운대학교,4700000000,경상북도,4723000000,영천시,4723032024,신녕면,"경상북도 영천시 신녕면 대학길 105 (화남리, 성덕대학교) ",36.06391186401671,128.7614763770201
502739,수성대학교,2700000000,대구광역시,2726000000,수성구,2726010200,만촌동,"대구광역시 수성구 달구벌대로528길 15 (만촌동, 수성대학교) ",35.85397237301475,128.64812433004178
502740,안동과학대학교,4700000000,경상북도,4717000000,안동시,4717033028,서후면,"경상북도 안동시 서후면 서선길 189 (교리, 안동과학대학교) ",36.58966681600867,128.65589800798293
502741,연성대학교,4100000000,경기도,4117100000,안양시 만안구,4117110100,안양동,"경기도 안양시 만안구 양화로37번길 34 (안양동, 연성대학교) ",37.39641920201208,126.90701103596524
502742,연암공과대학교,4800000000,경상남도,4817000000,진주시,4817013100,가좌동,"경남 진주시 진주대로 629번길 35(가좌동, 연암공과대학교) ",35.16531152002739,128.09809512497017
502743,오산대학교,4100000000,경기도,4137000000,오산시,4137010500,청학동,"경기도 오산시 청학로 45 (청학동, 오산대학) ",37.156529824029306,127.0611954839688
502744,인하공업전문대학,2800000000,인천광역시,2817700000,미추홀구,2817710300,학익동,"인천광역시 미추홀구 인하로 100 (용현동, 인하대,인하공전,정석항공고) 인하공업전문대학",37.44822181102106,126.65865812801545
502745,제주한라대학교,5000000000,제주특별자치도,5011000000,제주시,5011012200,노형동,"제주특별자치도 제주시 한라대학로 38 (노형동, 제주한라대학) ",33.47716486301577,126.47486627499669
502746,청암대학교,4600000000,전라남도,4615000000,순천시,4615012700,덕월동,"전라남도 순천시 녹색로 1641 (덕월동, 순천청암대학) ",34.92852906598985,127.4902303730045
502747,충남도립대학교,4400000000,충청남도,4479000000,청양군,4479025024,청양읍,"충청남도 청양군 청양읍 학사길 55 (벽천리, 충남도립대학교) ",36.438191590034805,126.80178353396605
