corp_cd,corp_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lon,lat,corp_depth1_cd,corp_depth1,corp_depth2_cd,corp_depth2,corp_depth3_cd,corp_depth3,corp_depth4_cd,corp_depth4,corp_depth5_cd,corp_depth5
192499,(주)팜스토리,1100000000,서울특별시,1168000000,강남구,1168010100,역삼동,서울특별시 강남구  강남대로 310 유니온센터 3층,127.0314857928,37.490983182,,,,,,,,,,
126955,삼양식품(주),1100000000,서울특별시,1129000000,성북구,1129013600,하월곡동,서울특별시 성북구  오패산로3길 104,127.0342471278,37.6077665098,C,제조업,10,식료품 제조업,108,동물용 사료 및 조제식품 제조업,1080,동물용 사료 및 조제식품 제조업,,
241209,(주)모아텍,2800000000,인천광역시,2820000000,남동구,2820010100,구월동,인천광역시 남동구  인주대로 698 (주)모아텍,126.7145934078,37.4487519902,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자부품 제조업,2629,기타 전자부품 제조업,26295,전자감지장치 제조업
242378,(주)이지홀딩스,1100000000,서울특별시,1168000000,강남구,1168010100,역삼동,서울특별시 강남구  강남대로 310 유니온센타3층,127.0314857928,37.490983182,,,,,,,,,,
130879,서울식품공업(주),4300000000,충청북도,4313000000,충주시,4313011900,목행동,충청북도 충주시 충원대로 862,127.9188975871,37.0026196041,C,제조업,10,식료품 제조업,108,동물용 사료 및 조제식품 제조업,1080,동물용 사료 및 조제식품 제조업,,
364467,(주)드림어스컴퍼니,1100000000,서울특별시,1165000000,서초구,1165010800,서초동,서울특별시 서초구 강남대로 311 드림플러스 강남,127.030298685,37.4908947432,,,,,,,,,,
370006,(주)아이엠비씨,1100000000,서울특별시,1144000000,마포구,1144012700,상암동,"서울특별시 마포구 성암로 25510층(상암동, 문화방송미디어센터)",126.9002141753,37.5757142635,,,,,,,,,,
142661,(주)우성,3000000000,대전광역시,3023000000,대덕구,3023010100,오정동,대전광역시 대덕구 한밭대로 1027,127.4126866186,36.3588044297,C,제조업,10,식료품 제조업,105,낙농제품 및 식용빙과류 제조업,1050,낙농제품 및 식용빙과류 제조업,10502,아이스크림 및 기타 식용빙과류 제조업
1226270,(주)스톰테크,1100000000,서울특별시,1150000000,강서구,1150010200,등촌동,서울특별시 강서구 화곡로68길 143,126.8615136348,37.5563693996,C,제조업,22,고무 및 플라스틱제품 제조업,222,플라스틱제품 제조업,2221,1차 플라스틱제품 제조업,22211,"플라스틱 선, 봉, 관 및 호스 제조업"
156691,한국공항(주),1100000000,서울특별시,1150000000,강서구,1150010900,방화동,서울특별시 강서구  양천로 13 (방화동) 한국공항(주),126.8056972304,37.573683994,H,운수 및 창고업,52,창고 및 운송관련 서비스업,529,기타 운송관련 서비스업,5293,항공 운송지원 서비스업,52939,기타 항공 운송지원 서비스업
158149,한국쉘석유(주),2600000000,부산광역시,2629000000,남구,2629010800,용당동,부산광역시 남구  신선로 250 (용당동),129.0916537448,35.1097151766,C,제조업,19,"코크스, 연탄 및 석유정제품 제조업",192,석유 정제품 제조업,1922,석유 정제물 재처리업,19221,윤활유 및 그리스 제조업
620558,(주)에이비프로바이오,2700000000,대구광역시,2771000000,달성군,2771025928,유가읍,대구광역시 달성군 유가읍 테크노순환로1길 70 -,128.4510287042,35.6812365498,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2922,가공 공작기계 제조업,29223,금속 절삭기계 제조업
303794,(주)쇼박스,1100000000,서울특별시,1168000000,강남구,1168010800,논현동,서울특별시 강남구 도산대로 310(논현동) 916빌딩 7~9층,127.0354757754,37.5215381084,J,정보통신업,59,영상ㆍ오디오 기록물 제작 및 배급업,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",5913,"영화, 비디오물 및 방송프로그램 배급업",59130,"영화, 비디오물 및 방송프로그램 배급업"
875307,(주)야스,4100000000,경기도,4148000000,파주시,4148032028,탄현면,경기도 파주시 탄현면 한산로 69,126.7304935181,37.8288737524,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2927,반도체 및 디스플레이 제조용 기계 제조업,29272,디스플레이 제조용 기계 제조업
127158,(주)씨아이테크,1100000000,서울특별시,1171000000,송파구,1171010700,가락동,서울특별시 송파구 양재대로 932 가락몰 업무동 11층 동관,127.108713599,37.4945376922,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265,영상 및 음향기기 제조업,2652,"오디오, 스피커 및 기타 음향기기 제조업",26529,기타 음향기기 제조업
260356,산은캐피탈(주),1100000000,서울특별시,1156000000,영등포구,1156011000,여의도동,서울특별시 영등포구 은행로 22 (여의도동) 한국산업은행 별관,126.9220246152,37.5278168729,K,금융 및 보험업,64,금융업,649,기타 금융업,6491,여신금융업,64911,금융리스업
