fac_cd,fac_nm,all_addr_nm,lat,lon
503124,건국대학교 일반대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) 상허연구관 511호(대학원 행정실)",37.541464498026194,127.07225724198823
503125,건국대학교(글로컬) 교육대학원,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스) ",36.9482397539971,127.90602675502312
503126,건국대학교 교육대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
503127,건국대학교 농축대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
503128,건국대학교 산업대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
503129,건국대학교 언론홍보대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
503130,건국대학교 정보통신대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
503131,건국대학교 행정대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
503132,건국대학교 건축전문대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
503133,건국대학교 부동산대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
503134,건국대학교 경영전문대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
503135,건국대학교 법학전문대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
503136,건국대학교(글로컬) 의학전문대학원,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스) ",36.9482397539971,127.90602675502312
503137,건양대학교 보건복지대학원,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) ",36.30682219303601,127.34264048696637
503138,경기대학교 일반대학원,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) ",37.56475122400975,126.96224300896642
503139,경기대학교 교육대학원,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교) ",37.30119998498446,127.03997807996194
503140,경기대학교 관광전문대학원,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) ",37.56475122400975,126.96224300896642
503141,경기대학교 서비스경영전문대학원,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) ",37.56475122400975,126.96224300896642
503142,경기대학교 대체의학대학원,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) ",37.56475122400975,126.96224300896642
503143,경기대학교 정치전문대학원,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) ",37.56475122400975,126.96224300896642
503144,경남대학교 대학원,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교) ",35.1841903199675,128.55273941097386
503145,경남대학교 교육대학원,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교) 교육대학원 교학행정실",35.1841903199675,128.55273941097386
503146,경남대학교 행정대학원,경상남도 창원시 마산합포구 경남대학로 7 (월영동),35.1841903199675,128.55273941097386
