BSI업종코드,SRR업종코드,계층구분코드,국내업체업종세그먼트코드,국외업체업종세그먼트코드,등록경로구분코드,등록부서코드,등록사용자ID,등록일시,수정경로구분코드,수정부서코드,수정사용자ID,수정일시,업종영문명,업종코드,업종코드버전,업종한글명,원본업종코드
,47,4,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of leather and fur garments,47416,10,가죽 및 모피의복 소매업,G47416
,47,4,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of other clothing,47419,10,기타 의복 소매업,G47419
,47,3,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Retail sale of textiles, textile goods and clothing accessories ",4742,10,"섬유, 직물 및 의복액세서리 소매업",G4742
,47,3,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of footwear,4743,10,신발 소매업,G4743
,47,4,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of footwear,47430,10,신발 소매업,G47430
,47,2,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of other household equipment,475,10,기타 생활용품 소매업,G475
,47,3,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Retail sale of hardware, tools, windows and doors and construction materials",4751,10,"철물, 공구, 창호 및 건설자재 소매업",G4751
,47,4,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of hardware and heating equipment,47511,10,철물 및 난방용구 소매업,G47511
,47,4,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of tools ,47512,10,공구 소매업,G47512
,47,4,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of wallpaper and floor coverings,47513,10,"벽지, 마루덮개 및 장판류 소매업",G47513
,47,4,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Retail sale of paints, windows and doors and other construction materials",47519,10,"페인트, 창호 및 기타 건설자재 소매업",G47519
,47,3,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of furniture,4752,10,가구 소매업,G4752
,47,4,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of furniture,47520,10,가구 소매업,G47520
,47,3,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Retail sale of other household equipment n.e.c.,4759,10,그 외 기타 가정용품 소매업,G4759
